congruency,veracity,ano_true_false_unsure,said_yes,prop_yes,ResponseId,Group,Condition
congruent,False,false,1,0.125,R_1KiK472sbg1Ln2b,Belief,Control
congruent,False,unsure,1,0.5,R_1KiK472sbg1Ln2b,Belief,Control
congruent,True,false,2,1.0,R_1KiK472sbg1Ln2b,Belief,Control
congruent,True,true,3,1.0,R_1KiK472sbg1Ln2b,Belief,Control
congruent,True,unsure,4,0.8,R_1KiK472sbg1Ln2b,Belief,Control
incongruent,False,false,0,0.0,R_1KiK472sbg1Ln2b,Belief,Control
incongruent,True,false,1,0.5,R_1KiK472sbg1Ln2b,Belief,Control
incongruent,True,unsure,3,0.375,R_1KiK472sbg1Ln2b,Belief,Control
congruent,False,false,1,0.125,R_YPT6Cs9qOyreW0p,Share,Control
congruent,False,unsure,0,0.0,R_YPT6Cs9qOyreW0p,Share,Control
congruent,True,false,0,0.0,R_YPT6Cs9qOyreW0p,Share,Control
congruent,True,true,2,0.6666666666666666,R_YPT6Cs9qOyreW0p,Share,Control
congruent,True,unsure,5,1.0,R_YPT6Cs9qOyreW0p,Share,Control
incongruent,False,false,0,0.0,R_YPT6Cs9qOyreW0p,Share,Control
incongruent,True,false,1,0.5,R_YPT6Cs9qOyreW0p,Share,Control
incongruent,True,unsure,0,0.0,R_YPT6Cs9qOyreW0p,Share,Control
congruent,False,false,0,0.0,R_UFNLCu7hFdNUADf,Share,Control
congruent,False,unsure,0,0.0,R_UFNLCu7hFdNUADf,Share,Control
congruent,True,false,0,0.0,R_UFNLCu7hFdNUADf,Share,Control
congruent,True,true,1,0.3333333333333333,R_UFNLCu7hFdNUADf,Share,Control
congruent,True,unsure,1,0.2,R_UFNLCu7hFdNUADf,Share,Control
incongruent,False,false,0,0.0,R_UFNLCu7hFdNUADf,Share,Control
incongruent,True,false,0,0.0,R_UFNLCu7hFdNUADf,Share,Control
incongruent,True,unsure,2,0.25,R_UFNLCu7hFdNUADf,Share,Control
congruent,False,false,0,0.0,R_2TLDFDFtM16b7o8,Belief,Forced
congruent,False,unsure,1,0.5,R_2TLDFDFtM16b7o8,Belief,Forced
congruent,True,false,1,0.5,R_2TLDFDFtM16b7o8,Belief,Forced
congruent,True,true,3,1.0,R_2TLDFDFtM16b7o8,Belief,Forced
congruent,True,unsure,4,0.8,R_2TLDFDFtM16b7o8,Belief,Forced
incongruent,False,false,0,0.0,R_2TLDFDFtM16b7o8,Belief,Forced
incongruent,True,false,2,1.0,R_2TLDFDFtM16b7o8,Belief,Forced
incongruent,True,unsure,7,0.875,R_2TLDFDFtM16b7o8,Belief,Forced
congruent,False,false,4,0.4,R_2sd2gR3olTKsDMj,Belief,Forced
congruent,True,false,2,1.0,R_2sd2gR3olTKsDMj,Belief,Forced
congruent,True,unsure,7,0.875,R_2sd2gR3olTKsDMj,Belief,Forced
incongruent,False,false,0,0.0,R_2sd2gR3olTKsDMj,Belief,Forced
incongruent,False,unsure,0,0.0,R_2sd2gR3olTKsDMj,Belief,Forced
incongruent,True,false,0,0.0,R_2sd2gR3olTKsDMj,Belief,Forced
incongruent,True,true,2,0.6666666666666666,R_2sd2gR3olTKsDMj,Belief,Forced
incongruent,True,unsure,2,0.4,R_2sd2gR3olTKsDMj,Belief,Forced
congruent,False,false,0,0.0,R_eVtw1nioBVx8GNb,Belief,Forced
congruent,False,unsure,0,0.0,R_eVtw1nioBVx8GNb,Belief,Forced
congruent,True,false,0,0.0,R_eVtw1nioBVx8GNb,Belief,Forced
congruent,True,true,2,0.6666666666666666,R_eVtw1nioBVx8GNb,Belief,Forced
