Group,Condition,ResponseId,veracity,num_yes,prop_yes
Belief,Control,R_1Q6hLNZNve7SAlM,False,2,0.1
Belief,Control,R_1Q6hLNZNve7SAlM,True,12,0.6
Belief,Control,R_1QnrE9BlWDX49Jy,False,4,0.2
Belief,Control,R_1QnrE9BlWDX49Jy,True,12,0.6
Belief,Control,R_1dGZ73vHLPWqps0,False,6,0.3
Belief,Control,R_1dGZ73vHLPWqps0,True,13,0.65
Belief,Control,R_1dgdwrHmWpdesqm,False,10,0.5
Belief,Control,R_1dgdwrHmWpdesqm,True,13,0.65
Belief,Control,R_1dmHIC4Oj18agnp,False,1,0.05
Belief,Control,R_1dmHIC4Oj18agnp,True,16,0.8
Belief,Control,R_1fjumgAMeFjME1E,False,1,0.05
Belief,Control,R_1fjumgAMeFjME1E,True,11,0.55
Belief,Control,R_1fkfzoRNJ2HDGHJ,False,4,0.2
Belief,Control,R_1fkfzoRNJ2HDGHJ,True,18,0.9
Belief,Control,R_1gNKzQwRkY5AzPG,False,2,0.1
Belief,Control,R_1gNKzQwRkY5AzPG,True,8,0.4
Belief,Control,R_1ghzJ9aBG8cPUwR,False,10,0.5
Belief,Control,R_1ghzJ9aBG8cPUwR,True,12,0.6
Belief,Control,R_1gk0u95D6mbkbKj,False,5,0.25
Belief,Control,R_1gk0u95D6mbkbKj,True,7,0.35
Belief,Control,R_1i4Ekwq60ry1jME,False,0,0.0
Belief,Control,R_1i4Ekwq60ry1jME,True,14,0.7
Belief,Control,R_1jJKrzMFQPThqB3,False,10,0.5
Belief,Control,R_1jJKrzMFQPThqB3,True,15,0.75
Belief,Control,R_1jT8TeVbMkplX4N,False,5,0.25
Belief,Control,R_1jT8TeVbMkplX4N,True,9,0.45
Belief,Control,R_1jxNXBP4Brd5ccr,False,0,0.0
Belief,Control,R_1jxNXBP4Brd5ccr,True,19,0.95
Belief,Control,R_1kHbUgjq930KI4n,False,2,0.1
Belief,Control,R_1kHbUgjq930KI4n,True,13,0.65
Belief,Control,R_1lhLQwzqHxu5Kph,False,2,0.1
Belief,Control,R_1lhLQwzqHxu5Kph,True,15,0.75
Belief,Control,R_1ln0SAq3JiSAvfE,False,1,0.05
Belief,Control,R_1ln0SAq3JiSAvfE,True,4,0.2
Belief,Control,R_1mmzVjrAPFLtnO7,False,20,1.0
Belief,Control,R_1mmzVjrAPFLtnO7,True,20,1.0
Belief,Control,R_1nNsPh4zSeCYHvZ,False,7,0.35
Belief,Control,R_1nNsPh4zSeCYHvZ,True,13,0.65
Belief,Control,R_1nZRuk2LsqSinYy,False,6,0.3
Belief,Control,R_1nZRuk2LsqSinYy,True,10,0.5
Belief,Control,R_1o5uM4oasvOcw9J,False,20,1.0
Belief,Control,R_1o5uM4oasvOcw9J,True,20,1.0
Belief,Control,R_1od9u0QRDSwgc4f,False,0,0.0
Belief,Control,R_1od9u0QRDSwgc4f,True,4,0.2
Belief,Control,R_1pDSuBJzeJwoIeg,False,0,0.0
Belief,Control,R_1pDSuBJzeJwoIeg,True,8,0.4
Belief,Control,R_1pG773ryIyQzuST,False,2,0.1
Belief,Control,R_1pG773ryIyQzuST,True,9,0.45
Belief,Control,R_1pGvYF3gLcfPPCr,False,2,0.1
Belief,Control,R_1pGvYF3gLcfPPCr,True,16,0.8
Belief,Control,R_1pM2kRcKC6iFUmW,False,2,0.1
Belief,Control,R_1pM2kRcKC6iFUmW,True,14,0.7
Belief,Control,R_1pROJZyu82HKhU0,False,3,0.15
Belief,Control,R_1pROJZyu82HKhU0,True,3,0.15
Belief,Control,R_1pSBjbRQYVml2Oo,False,0,0.0
Belief,Control,R_1pSBjbRQYVml2Oo,True,17,0.85
Belief,Control,R_1pXY4nskW9q1bNR,False,2,0.1
Belief,Control,R_1pXY4nskW9q1bNR,True,14,0.7
Belief,Control,R_215kVsDiCDWVI7Q,False,1,0.05
Belief,Control,R_215kVsDiCDWVI7Q,True,12,0.6
Belief,Control,R_21bnFr1OMqVjswK,False,11,0.55
Belief,Control,R_21bnFr1OMqVjswK,True,17,0.85
Belief,Control,R_23a6obtoPXqMkAz,False,10,0.5
Belief,Control,R_23a6obtoPXqMkAz,True,14,0.7
Belief,Control,R_24q08ta1P15Z4Ax,False,1,0.05
Belief,Control,R_24q08ta1P15Z4Ax,True,18,0.9
Belief,Control,R_24usWPn4b41hndn,False,17,0.85
Belief,Control,R_24usWPn4b41hndn,True,19,0.95
Belief,Control,R_26a6N6L2oT6c2zp,False,17,0.85
Belief,Control,R_26a6N6L2oT6c2zp,True,13,0.65
Belief,Control,R_26fiU1pJc2xwhqd,False,1,0.05
Belief,Control,R_26fiU1pJc2xwhqd,True,11,0.55
Belief,Control,R_273V9fwIP3eoP04,False,1,0.05
Belief,Control,R_273V9fwIP3eoP04,True,17,0.85
Belief,Control,R_27K9FoPWRU9rDxx,False,6,0.3
Belief,Control,R_27K9FoPWRU9rDxx,True,9,0.45
